# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 14K of event 'cycles'
# Event count (approx.): 1913745323191
#
# Children      Self  Command          Shared Object         Symbol                                           
# ........  ........  ...............  ....................  .................................................
#
     0.24%     0.03%  postgres         [kernel.kallsyms]     [k] ext4_da_get_block_prep
     0.23%     0.00%  postgres         [kernel.kallsyms]     [k] enqueue_task
     0.23%     0.01%  postgres         [kernel.kallsyms]     [k] lru_add_drain
     0.23%     0.22%  postgres         [kernel.kallsyms]     [k] native_queued_spin_lock_slowpath
     0.22%     0.00%  kcompactd1       [kernel.kallsyms]     [k] buffer_migrate_page
     0.22%     0.01%  postgres         [kernel.kallsyms]     [k] sockfd_lookup_light
     0.22%     0.03%  postgres         [kernel.kallsyms]     [k] lru_add_drain_cpu
     0.21%     0.00%  postgres         [kernel.kallsyms]     [k] __x64_sys_openat
     0.21%     0.00%  postgres         [kernel.kallsyms]     [k] do_sys_openat2
     0.20%     0.08%  postgres         [kernel.kallsyms]     [k] __mod_lruvec_page_state
     0.20%     0.03%  kcompactd1       [kernel.kallsyms]     [k] compaction_alloc
     0.20%     0.02%  postgres         [kernel.kallsyms]     [k] exit_to_user_mode_prepare
     0.20%     0.04%  kcompactd1       [kernel.kallsyms]     [k] __buffer_migrate_page.part.0
     0.19%     0.01%  postgres         [kernel.kallsyms]     [k] pick_next_task_fair
     0.19%     0.02%  postgres         [kernel.kallsyms]     [k] pagevec_lru_move_fn
     0.19%     0.00%  swapper          [kernel.kallsyms]     [k] common_interrupt
     0.19%     0.00%  swapper          [kernel.kallsyms]     [k] asm_common_interrupt
     0.19%     0.18%  postgres         [kernel.kallsyms]     [k] psi_group_change
     0.19%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] __x64_sys_poll
     0.19%     0.00%  postgres         [kernel.kallsyms]     [k] __x64_sys_read
     0.19%     0.02%  tclsh8.6         [kernel.kallsyms]     [k] do_sys_poll
     0.19%     0.00%  postgres         [kernel.kallsyms]     [k] ksys_read
     0.18%     0.00%  swapper          [kernel.kallsyms]     [k] __common_interrupt
     0.18%     0.00%  swapper          [kernel.kallsyms]     [k] handle_edge_irq
     0.18%     0.00%  swapper          [kernel.kallsyms]     [k] __handle_irq_event_percpu
     0.18%     0.00%  swapper          [kernel.kallsyms]     [k] handle_irq_event
     0.18%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] asm_exc_page_fault
     0.18%     0.00%  swapper          [kernel.kallsyms]     [k] nvme_process_cq
     0.18%     0.00%  swapper          [kernel.kallsyms]     [k] nvme_irq
     0.18%     0.15%  postgres         [kernel.kallsyms]     [k] rcu_read_unlock_strict
     0.17%     0.00%  swapper          [kernel.kallsyms]     [k] nvme_pci_complete_rq
     0.17%     0.01%  postgres         [kernel.kallsyms]     [k] unix_stream_sendmsg
     0.17%     0.16%  kcompactd0       [kernel.kallsyms]     [k] page_vma_mapped_walk
     0.17%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] exc_page_fault
     0.17%     0.00%  swapper          [kernel.kallsyms]     [k] irq_exit_rcu
     0.17%     0.01%  postgres         [kernel.kallsyms]     [k] newidle_balance
     0.16%     0.00%  postgres         [kernel.kallsyms]     [k] do_filp_open
     0.16%     0.00%  postgres         [kernel.kallsyms]     [k] path_openat
     0.16%     0.01%  postgres         [kernel.kallsyms]     [k] ext4_es_insert_extent
     0.16%     0.16%  postgres         [kernel.kallsyms]     [k] sbitmap_queue_clear
     0.16%     0.00%  postgres         [kernel.kallsyms]     [k] __blk_mq_free_request
