# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles'
# Event count (approx.): 1357731480738
#
# Children      Self  Command     Shared Object      Symbol                                        
# ........  ........  ..........  .................  ..............................................
#
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] find_busiest_group
     0.02%     0.01%  tclsh8.6    [kernel.kallsyms]  [k] ep_poll_callback
     0.02%     0.01%  tclsh8.6    [kernel.kallsyms]  [k] smp_call_function_many_cond
     0.02%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] flush_tlb_mm_range
     0.02%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] native_flush_tlb_multi
     0.02%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] on_each_cpu_cond_mask
     0.02%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] ptep_clear_flush
     0.02%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] rmap_walk
     0.02%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] rmap_walk_anon
     0.02%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] try_to_migrate
     0.02%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] try_to_migrate_one
     0.02%     0.00%  postgres    [kernel.kallsyms]  [k] cgroup_rstat_updated
     0.02%     0.00%  postgres    [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     0.02%     0.00%  postgres    [kernel.kallsyms]  [k] task_work_run
     0.02%     0.01%  tclsh8.6    [kernel.kallsyms]  [k] flush_smp_call_function_queue
     0.02%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] __sysvec_call_function
     0.02%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] asm_sysvec_call_function
     0.02%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] generic_smp_call_function_single_interrupt
     0.02%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] sysvec_call_function
     0.02%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] __schedule
     0.02%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] __x64_sys_poll
     0.02%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] do_sys_poll
     0.02%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] schedule
     0.02%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] schedule_hrtimeout_range
     0.02%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] schedule_hrtimeout_range_clock
     0.02%     0.02%  postgres    [kernel.kallsyms]  [k] rcu_read_unlock_strict
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] ctx_resched
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] __perf_event_enable
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] __x64_sys_ioctl
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] _perf_event_enable
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] _perf_ioctl
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] do_syscall_64
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] event_function
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] event_function_call
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] generic_exec_single
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] perf_event_for_each_child
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] perf_ioctl
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] remote_function
