# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 8025463247800
#
# Children      Self  Command          Shared Object             Symbol                                             
# ........  ........  ...............  ........................  ...................................................
#
     0.38%     0.00%  kworker/u96:0-e  [kernel.kallsyms]         [k] ret_from_fork
     0.38%     0.15%  LocalJobRunner   [kernel.kallsyms]         [k] kmem_cache_alloc
     0.38%     0.03%  LocalJobRunner   [kernel.kallsyms]         [k] jbd2__journal_start
     0.38%     0.01%  VM Thread        [kernel.kallsyms]         [k] do_sched_yield
     0.38%     0.00%  VM Thread        [kernel.kallsyms]         [k] ksys_mmap_pgoff
     0.38%     0.00%  kworker/u96:0-e  [kernel.kallsyms]         [k] process_one_work
     0.38%     0.00%  VM Thread        [kernel.kallsyms]         [k] __x64_sys_mmap
     0.38%     0.00%  VM Thread        [kernel.kallsyms]         [k] vm_mmap_pgoff
     0.38%     0.00%  kworker/u96:0-e  [kernel.kallsyms]         [k] ext4_end_io_rsv_work
     0.38%     0.00%  VM Thread        [kernel.kallsyms]         [k] do_mmap
     0.38%     0.00%  VM Thread        [kernel.kallsyms]         [k] mmap_region
     0.38%     0.00%  VM Thread        [kernel.kallsyms]         [k] __do_munmap
     0.38%     0.00%  VM Thread        [kernel.kallsyms]         [k] unmap_region
     0.38%     0.13%  LocalJobRunner   [kernel.kallsyms]         [k] balance_dirty_pages_ratelimited
     0.37%     0.00%  VM Thread        [kernel.kallsyms]         [k] unmap_single_vma
     0.37%     0.00%  VM Thread        [kernel.kallsyms]         [k] unmap_vmas
     0.37%     0.36%  LocalJobRunner   [kernel.kallsyms]         [k] __ptep_modify_prot_start
     0.37%     0.01%  java             [kernel.kallsyms]         [k] asm_sysvec_call_function
     0.37%     0.06%  VM Thread        [kernel.kallsyms]         [k] unmap_page_range
     0.37%     0.00%  kworker/u96:0-e  [kernel.kallsyms]         [k] ext4_release_io_end
     0.37%     0.08%  kworker/u96:0-e  [kernel.kallsyms]         [k] ext4_finish_bio
     0.36%     0.26%  LocalJobRunner   [kernel.kallsyms]         [k] _raw_spin_lock
     0.36%     0.03%  java             [kernel.kallsyms]         [k] switch_fpu_return
     0.36%     0.09%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_da_get_block_prep
     0.36%     0.18%  java             [kernel.kallsyms]         [k] charge_memcg
