# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 1584055210371
#
# Children      Self  Command          Shared Object      Symbol                                        
# ........  ........  ...............  .................  ..............................................
#
     0.08%     0.00%  postgres         [kernel.kallsyms]  [k] __softirqentry_text_start
     0.08%     0.01%  tclsh8.6         [kernel.kallsyms]  [k] __handle_mm_fault
     0.08%     0.00%  postgres         [kernel.kallsyms]  [k] syscall_exit_to_user_mode
     0.08%     0.00%  postgres         [kernel.kallsyms]  [k] irq_exit_rcu
     0.08%     0.08%  postgres         [kernel.kallsyms]  [k] try_grab_compound_head
     0.08%     0.05%  kcompactd0       [kernel.kallsyms]  [k] vma_interval_tree_iter_next
     0.08%     0.08%  postgres         [kernel.kallsyms]  [k] xas_load
     0.08%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] do_sys_poll
     0.08%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __x64_sys_poll
     0.08%     0.08%  postgres         [kernel.kallsyms]  [k] _find_next_bit
     0.08%     0.01%  postgres         [kernel.kallsyms]  [k] futex_wait_setup
     0.07%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_sync_file
     0.07%     0.00%  swapper          [kernel.kallsyms]  [k] irq_exit_rcu
     0.07%     0.00%  postgres         [kernel.kallsyms]  [k] __wake_up_common
     0.07%     0.00%  postgres         [kernel.kallsyms]  [k] load_balance
     0.07%     0.02%  postgres         [kernel.kallsyms]  [k] enqueue_task_fair
     0.07%     0.07%  kcompactd0       [kernel.kallsyms]  [k] clear_page_erms
     0.07%     0.00%  kcompactd0       [kernel.kallsyms]  [k] post_alloc_hook
     0.07%     0.01%  postgres         [kernel.kallsyms]  [k] sock_def_readable
     0.07%     0.02%  postgres         [kernel.kallsyms]  [k] ext4_find_extent
     0.07%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_ext_map_blocks
     0.07%     0.00%  swapper          [kernel.kallsyms]  [k] __sysvec_apic_timer_interrupt
     0.07%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] migrate_misplaced_page
     0.07%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] migrate_pages
     0.07%     0.03%  kcompactd0       [kernel.kallsyms]  [k] PageHuge
     0.07%     0.00%  postgres         [kernel.kallsyms]  [k] tlb_finish_mmu
     0.06%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_block_write_begin
     0.06%     0.00%  postgres         [kernel.kallsyms]  [k] asm_sysvec_call_function_single
     0.06%     0.00%  postgres         [kernel.kallsyms]  [k] user_path_at_empty
     0.06%     0.03%  kcompactd0       [kernel.kallsyms]  [k] page_add_file_rmap
     0.06%     0.03%  kcompactd0       [kernel.kallsyms]  [k] __cond_resched
     0.06%     0.03%  postgres         [kernel.kallsyms]  [k] __count_memcg_events
     0.06%     0.02%  postgres         [kernel.kallsyms]  [k] __mem_cgroup_uncharge_list
     0.06%     0.03%  postgres         [kernel.kallsyms]  [k] flush_tlb_mm_range
     0.06%     0.00%  swapper          [kernel.kallsyms]  [k] __softirqentry_text_start
     0.06%     0.00%  swapper          [kernel.kallsyms]  [k] hrtimer_interrupt
     0.06%     0.01%  postgres         [kernel.kallsyms]  [k] switch_fpu_return
     0.06%     0.00%  postgres         [kernel.kallsyms]  [k] __wake_up_common_lock
     0.06%     0.02%  postgres         [kernel.kallsyms]  [k] filemap_get_read_batch
     0.06%     0.00%  postgres         [kernel.kallsyms]  [k] __wake_up_sync_key
     0.06%     0.02%  postgres         [kernel.kallsyms]  [k] update_curr
     0.06%     0.02%  kcompactd0       [kernel.kallsyms]  [k] isolate_freepages_block
     0.06%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] schedule_hrtimeout_range_clock
     0.06%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] schedule_hrtimeout_range
     0.06%     0.05%  postgres         [kernel.kallsyms]  [k] update_sd_lb_stats.constprop.0
     0.06%     0.00%  postgres         [kernel.kallsyms]  [k] find_busiest_group
     0.06%     0.04%  postgres         [kernel.kallsyms]  [k] update_blocked_averages
     0.05%     0.00%  postgres         [kernel.kallsyms]  [k] sysvec_call_function_single
     0.05%     0.00%  postgres         [kernel.kallsyms]  [k] pollwake
     0.05%     0.00%  swapper          [kernel.kallsyms]  [k] asm_common_interrupt
     0.05%     0.00%  swapper          [kernel.kallsyms]  [k] common_interrupt
     0.05%     0.02%  swapper          [kernel.kallsyms]  [k] __hrtimer_run_queues
     0.05%     0.05%  postgres         [kernel.kallsyms]  [k] __restore_fpregs_from_fpstate
     0.05%     0.00%  postgres         [kernel.kallsyms]  [k] submit_bio_noacct
     0.05%     0.00%  postgres         [kernel.kallsyms]  [k] lookup_fast
     0.05%     0.00%  swapper          [kernel.kallsyms]  [k] run_rebalance_domains
     0.05%     0.04%  postgres         [kernel.kallsyms]  [k] __d_lookup_rcu
     0.05%     0.00%  postgres         [kernel.kallsyms]  [k] __submit_bio
     0.05%     0.00%  postgres         [kernel.kallsyms]  [k] submit_bio
     0.05%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_select
     0.05%     0.00%  postgres         [kernel.kallsyms]  [k] default_wake_function
     0.05%     0.00%  postgres         [kernel.kallsyms]  [k] enqueue_entity
     0.05%     0.00%  postgres         [kernel.kallsyms]  [k] run_rebalance_domains
     0.05%     0.05%  swapper          [kernel.kallsyms]  [k] menu_select
     0.05%     0.00%  swapper          [kernel.kallsyms]  [k] __common_interrupt
     0.05%     0.00%  swapper          [kernel.kallsyms]  [k] handle_edge_irq
     0.05%     0.05%  kcompactd0       [kernel.kallsyms]  [k] vma_interval_tree_subtree_search
     0.05%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] ep_poll_callback
     0.05%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __wake_up_common
