# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 16K of event 'cycles'
# Event count (approx.): 6600941935438
#
# Children      Self  Command          Shared Object                       Symbol                                           
# ........  ........  ...............  ..................................  .................................................
#
     0.21%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] dequeue_task
     0.21%     0.00%  swapper          [kernel.kallsyms]                   [k] handle_irq_event
     0.21%     0.00%  swapper          [kernel.kallsyms]                   [k] __handle_irq_event_percpu
     0.21%     0.11%  NonPeriodicTask  [kernel.kallsyms]                   [k] unmap_page_range
     0.21%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] unmap_single_vma
     0.21%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] unmap_vmas
     0.21%     0.01%  swapper          [kernel.kallsyms]                   [k] nvme_irq
     0.21%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] enqueue_task
     0.21%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] dequeue_task_fair
     0.20%     0.01%  swapper          [kernel.kallsyms]                   [k] nvme_process_cq
     0.20%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] ondemand_readahead
     0.20%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] page_cache_async_ra
     0.20%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __x64_sys_prctl
     0.20%     0.19%  Native-Transpor  [kernel.kallsyms]                   [k] clear_page_erms
     0.20%     0.03%  swapper          [kernel.kallsyms]                   [k] enqueue_task_fair
     0.20%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __do_sys_prctl
     0.19%     0.04%  swapper          [kernel.kallsyms]                   [k] psi_task_switch
     0.18%     0.00%  swapper          [kernel.kallsyms]                   [k] nvme_pci_complete_rq
     0.18%     0.02%  kswapd1          [kernel.kallsyms]                   [k] page_referenced_one
     0.18%     0.00%  kswapd0          [kernel.kallsyms]                   [k] try_to_unmap
     0.18%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] ext4_map_blocks
     0.18%     0.00%  kswapd0          [kernel.kallsyms]                   [k] __remove_mapping
     0.18%     0.12%  kswapd0          [kernel.kallsyms]                   [k] isolate_pages
     0.18%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] asm_sysvec_call_function
     0.17%     0.02%  swapper          [kernel.kallsyms]                   [k] pick_next_task_fair
     0.17%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] filemap_map_pages
     0.16%     0.15%  kswapd0          [kernel.kallsyms]                   [k] page_vma_mapped_walk
     0.16%     0.16%  swapper          [kernel.kallsyms]                   [k] psi_group_change
