# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 129K of event 'cycles'
# Event count (approx.): 2520707030880
#
# Children      Self  Command          Shared Object                       Symbol                                        
# ........  ........  ...............  ..................................  ..............................................
#
     0.19%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __ip_queue_xmit
     0.18%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] simple_copy_to_iter
     0.18%     0.04%  NonPeriodicTask  [kernel.kallsyms]                   [k] _raw_spin_lock_irqsave
     0.18%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] handle_edge_irq
     0.18%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __napi_poll
     0.18%     0.04%  Native-Transpor  [kernel.kallsyms]                   [k] __pagevec_lru_add
     0.18%     0.18%  cluster1-nio-wo  [kernel.kallsyms]                   [k] psi_group_change
     0.18%     0.00%  CompactionExecu  [kernel.kallsyms]                   [k] ext4_da_write_begin
     0.18%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] process_backlog
     0.18%     0.09%  Native-Transpor  [kernel.kallsyms]                   [k] update_curr
     0.18%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_local_out
     0.18%     0.00%  kswapd1          [kernel.kallsyms]                   [k] try_to_unmap_flush
     0.18%     0.17%  cluster1-nio-wo  [kernel.kallsyms]                   [k] copy_user_enhanced_fast_string
     0.18%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_output
     0.18%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __netif_receive_skb
     0.18%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __netif_receive_skb_one_core
     0.17%     0.01%  kswapd0          [kernel.kallsyms]                   [k] xas_store
     0.17%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] handle_irq_event
     0.17%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_finish_output
     0.17%     0.08%  Native-Transpor  [kernel.kallsyms]                   [k] futex_wake
     0.17%     0.16%  NonPeriodicTask  [kernel.kallsyms]                   [k] unlock_page
     0.17%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __handle_irq_event_percpu
     0.17%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] nvme_process_cq
     0.17%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] nvme_irq
     0.17%     0.09%  Native-Transpor  [kernel.kallsyms]                   [k] flush_tlb_func
     0.17%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __ip_finish_output
     0.17%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_rcv
     0.16%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_finish_output2
     0.16%     0.00%  kcompactd1       [kernel.kallsyms]                   [k] compact_zone
     0.16%     0.00%  kcompactd1       [kernel.kallsyms]                   [k] kcompactd
