# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 6777317610921
#
# Children      Self  Command          Shared Object             Symbol                                             
# ........  ........  ...............  ........................  ...................................................
#
     0.36%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] futex_wait_queue_me
     0.36%     0.35%  LocalJobRunner   [kernel.kallsyms]         [k] __get_user_nocheck_1
     0.35%     0.28%  java             [kernel.kallsyms]         [k] switch_mm_irqs_off
     0.35%     0.34%  java             [kernel.kallsyms]         [k] mem_cgroup_from_task
     0.35%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] wake_up_q
     0.35%     0.00%  VM Thread        [kernel.kallsyms]         [k] free_pages_and_swap_cache
     0.34%     0.06%  VM Thread        [kernel.kallsyms]         [k] release_pages
     0.34%     0.32%  LocalJobRunner   [kernel.kallsyms]         [k] copy_page_to_iter
     0.33%     0.04%  LocalJobRunner   [kernel.kallsyms]         [k] mark_buffer_dirty
     0.33%     0.03%  LocalJobRunner   [kernel.kallsyms]         [k] __mod_lruvec_state
     0.33%     0.33%  LocalJobRunner   [kernel.kallsyms]         [k] copy_page
     0.33%     0.00%  java             [kernel.kallsyms]         [k] flush_tlb_mm_range
     0.33%     0.02%  java             [kernel.kallsyms]         [k] __mod_lruvec_state
     0.33%     0.03%  LocalJobRunner   [kernel.kallsyms]         [k] jbd2__journal_start
     0.32%     0.07%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_da_get_block_prep
     0.32%     0.10%  VM Thread        [kernel.kallsyms]         [k] __schedule
     0.32%     0.01%  java             [kernel.kallsyms]         [k] native_flush_tlb_multi
     0.32%     0.00%  kworker/u96:1    [kernel.kallsyms]         [k] worker_thread
     0.32%     0.00%  kworker/u96:1    [kernel.kallsyms]         [k] kthread
     0.32%     0.00%  kworker/u96:1    [kernel.kallsyms]         [k] ret_from_fork
     0.32%     0.00%  kworker/u96:1    [kernel.kallsyms]         [k] process_one_work
     0.32%     0.00%  kworker/u96:1    [kernel.kallsyms]         [k] ext4_end_io_rsv_work
     0.31%     0.30%  java             [kernel.kallsyms]         [k] __ptep_modify_prot_start
     0.31%     0.00%  kworker/u96:1    [kernel.kallsyms]         [k] ext4_release_io_end
     0.31%     0.08%  kworker/u96:1    [kernel.kallsyms]         [k] ext4_finish_bio
     0.31%     0.19%  LocalJobRunner   [kernel.kallsyms]         [k] __cond_resched
     0.31%     0.00%  java             [kernel.kallsyms]         [k] on_each_cpu_cond_mask
     0.30%     0.07%  java             [kernel.kallsyms]         [k] free_unref_page
     0.30%     0.18%  LocalJobRunner   [kernel.kallsyms]         [k] cgroup_rstat_updated
     0.30%     0.16%  LocalJobRunner   [kernel.kallsyms]         [k] __count_memcg_events
     0.29%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] __page_cache_alloc
     0.28%     0.00%  java             [kernel.kallsyms]         [k] sysvec_call_function
     0.28%     0.00%  kworker/u97:1    [kernel.kallsyms]         [k] kthread
     0.28%     0.00%  kworker/u97:1    [kernel.kallsyms]         [k] ret_from_fork
