# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 668K of event 'cycles'
# Event count (approx.): 8393561199059
#
# Children      Self  Command          Shared Object         Symbol                                             
# ........  ........  ...............  ....................  ...................................................
#
     0.38%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_dirty_inode
     0.38%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] __do_munmap
     0.38%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] __vm_munmap
     0.38%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] __x64_sys_munmap
     0.38%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] unmap_region
     0.37%     0.33%  kswapd0          [kernel.kallsyms]     [k] isolate_lru_pages
     0.37%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __page_cache_alloc
     0.37%     0.13%  kswapd1          [kernel.kallsyms]     [k] move_pages_to_lru
     0.37%     0.36%  LocalJobRunner   [kernel.kallsyms]     [k] _raw_spin_lock
     0.37%     0.07%  pool-4-thread-1  [kernel.kallsyms]     [k] ext4_da_get_block_prep
     0.37%     0.11%  java             [kernel.kallsyms]     [k] __cgroup_account_cputime
     0.36%     0.05%  pool-4-thread-1  [kernel.kallsyms]     [k] __block_commit_write.constprop.0.isra.0
     0.36%     0.01%  java             [kernel.kallsyms]     [k] native_flush_tlb_multi
     0.36%     0.05%  localfetcher#1   [kernel.kallsyms]     [k] _raw_spin_lock_irqsave
     0.36%     0.03%  java             [kernel.kallsyms]     [k] update_process_times
     0.36%     0.34%  pool-4-thread-1  [kernel.kallsyms]     [k] change_protection
     0.36%     0.03%  kswapd1          [kernel.kallsyms]     [k] __remove_mapping
     0.36%     0.01%  pool-4-thread-1  [kernel.kallsyms]     [k] __ext4_journal_start_sb
     0.36%     0.01%  java             [kernel.kallsyms]     [k] ptep_clear_flush
     0.35%     0.00%  java             [kernel.kallsyms]     [k] tick_sched_handle
