# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 861K of event 'cycles'
# Event count (approx.): 1583414822661
#
# Children      Self  Command          Shared Object                              Symbol                                                                                                                                                           
# ........  ........  ...............  .........................................  .................................................................................................................................................................
#
     0.00%     0.00%  task-result-get  [kernel.kallsyms]                          [k] __common_interrupt
     0.00%     0.00%  task-result-get  [kernel.kallsyms]                          [k] asm_common_interrupt
     0.00%     0.00%  task-result-get  [kernel.kallsyms]                          [k] common_interrupt
     0.00%     0.00%  task-result-get  [kernel.kallsyms]                          [k] handle_edge_irq
     0.00%     0.00%  task-result-get  [kernel.kallsyms]                          [k] handle_irq_event
     0.00%     0.00%  G1 Refine#7      libjvm.so                                  [.] _ZN24G1ConcurrentRefineThread11run_serviceEv
     0.00%     0.00%  tuned            [kernel.kallsyms]                          [k] finish_task_switch.isra.0
     0.00%     0.00%  G1 Refine#19     libjvm.so                                  [.] _ZN6BitMap10par_at_putEmb
     0.00%     0.00%  rhsmcertd-worke  [kernel.kallsyms]                          [k] hrtimer_active
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc595307b3
     0.00%     0.00%  GC Thread#7      [kernel.kallsyms]                          [k] update_rt_rq_load_avg
     0.00%     0.00%  G1 Refine#16     [kernel.kallsyms]                          [k] acct_account_cputime
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc594d6065
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc588559a6
     0.00%     0.00%  G1 Conc#3        [kernel.kallsyms]                          [k] calc_global_load
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc594e10b5
     0.00%     0.00%  GC Thread#15     [kernel.kallsyms]                          [k] rcu_core
     0.00%     0.00%  G1 Conc#2        libjvm.so                                  [.] _ZN15G1CollectedHeap4heapEv
     0.00%     0.00%  GC Thread#18     [kernel.kallsyms]                          [k] __queue_work
     0.00%     0.00%  GC Thread#18     [kernel.kallsyms]                          [k] __run_timers.part.0
     0.00%     0.00%  GC Thread#18     [kernel.kallsyms]                          [k] call_timer_fn
     0.00%     0.00%  kworker/u64:38-  [kernel.kallsyms]                          [k] percpu_counter_add_batch
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc58b1eeeb
     0.00%     0.00%  kworker/28:1-mm  [kernel.kallsyms]                          [k] cpuacct_charge
     0.00%     0.00%  kworker/28:1-mm  [kernel.kallsyms]                          [k] update_curr
     0.00%     0.00%  G1 Refine#22     [kernel.kallsyms]                          [k] __rdgsbase_inactive
     0.00%     0.00%  GC Thread#14     libjvm.so                                  [.] _ZN19GenericTaskQueueSetI17OverflowTaskQueueI8StarTaskL10MemoryType5ELj131072EELS2_5EE15steal_best_of_2EjPiRS1_
     0.00%     0.00%  GC Thread#12     [kernel.kallsyms]                          [k] pick_next_task_fair
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc59588e12
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc5953f504
     0.00%     0.00%  G1 Refine#16     [kernel.kallsyms]                          [k] call_timer_fn
     0.00%     0.00%  VM Thread        libpthread-2.28.so                         [.] __new_sem_wait_slow.constprop.0
     0.00%     0.00%  GC Thread#4      [kernel.kallsyms]                          [k] available_idle_cpu
     0.00%     0.00%  RemoteBlock-tem  [kernel.kallsyms]                          [k] find_busiest_group
     0.00%     0.00%  RemoteBlock-tem  [kernel.kallsyms]                          [k] load_balance
     0.00%     0.00%  RemoteBlock-tem  [kernel.kallsyms]                          [k] update_sd_lb_stats.constprop.0
     0.00%     0.00%  G1 Refine#8      [kernel.kallsyms]                          [k] __handle_mm_fault
     0.00%     0.00%  G1 Refine#8      [kernel.kallsyms]                          [k] asm_exc_page_fault
     0.00%     0.00%  G1 Refine#8      [kernel.kallsyms]                          [k] do_user_addr_fault
     0.00%     0.00%  G1 Refine#8      [kernel.kallsyms]                          [k] exc_page_fault
     0.00%     0.00%  G1 Refine#8      [kernel.kallsyms]                          [k] handle_mm_fault
     0.00%     0.00%  G1 Refine#2      [kernel.kallsyms]                          [k] kfree
     0.00%     0.00%  GC Thread#7      [kernel.kallsyms]                          [k] __cgroup_account_cputime
     0.00%     0.00%  GC Thread#19     [kernel.kallsyms]                          [k] raw_spin_rq_lock_nested
     0.00%     0.00%  GC Thread#13     [kernel.kallsyms]                          [k] ttwu_do_activate
     0.00%     0.00%  migration/5      [kernel.kallsyms]                          [k] smpboot_thread_fn
     0.00%     0.00%  migration/5      [kernel.kallsyms]                          [k] kthread
     0.00%     0.00%  migration/5      [kernel.kallsyms]                          [k] ret_from_fork
     0.00%     0.00%  GC Thread#0      [kernel.kallsyms]                          [k] handle_irq_event
     0.00%     0.00%  GC Thread#0      [kernel.kallsyms]                          [k] __common_interrupt
     0.00%     0.00%  GC Thread#0      [kernel.kallsyms]                          [k] handle_edge_irq
     0.00%     0.00%  GC Thread#2      [kernel.kallsyms]                          [k] __queue_work
     0.00%     0.00%  G1 Refine#14     [kernel.kallsyms]                          [k] __lock_text_start
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc595316a2
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc594b461c
     0.00%     0.00%  GC Thread#5      [kernel.kallsyms]                          [k] update_dl_rq_load_avg
     0.00%     0.00%  G1 Refine#6      [kernel.kallsyms]                          [k] activate_task
     0.00%     0.00%  G1 Refine#6      [kernel.kallsyms]                          [k] attach_task
     0.00%     0.00%  kworker/u64:35-  [kernel.kallsyms]                          [k] mpage_map_and_submit_extent
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc5953075c
     0.00%     0.00%  G1 Refine#1      [kernel.kallsyms]                          [k] propagate_entity_cfs_rq
     0.00%     0.00%  GC Thread#16     [kernel.kallsyms]                          [k] update_group_capacity
     0.00%     0.00%  swapper          [kernel.kallsyms]                          [k] rcu_segcblist_ready_cbs
     0.00%     0.00%  refresh progres  [kernel.kallsyms]                          [k] irq_work_tick
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc5954f299
     0.00%     0.00%  kworker/17:2-mm  [kernel.kallsyms]                          [k] process_one_work
     0.00%     0.00%  G1 Refine#10     [kernel.kallsyms]                          [k] native_send_call_func_single_ipi
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc5874887b
     0.00%     0.00%  python3          [kernel.kallsyms]                          [k] __ext4_new_inode
     0.00%     0.00%  python3          [kernel.kallsyms]                          [k] ext4_create
     0.00%     0.00%  python3          [kernel.kallsyms]                          [k] lookup_open.isra.0
     0.00%     0.00%  kworker/u64:38-  [kernel.kallsyms]                          [k] asm_common_interrupt
     0.00%     0.00%  kworker/u64:38-  [kernel.kallsyms]                          [k] common_interrupt
     0.00%     0.00%  G1 Refine#8      [kernel.kallsyms]                          [k] x86_pmu_enable_all
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc58def143
     0.00%     0.00%  G1 Refine#0      [kernel.kallsyms]                          [k] ixgbe_clean_rx_irq
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc58a57412
     0.00%     0.00%  G1 Refine#5      libjvm.so                                  [.] _ZN10HeapRegion32oops_on_card_seq_iterate_carefulILb0E28G1ConcurrentRefineOopClosureEEb9MemRegionPT0_
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc59119bfa
     0.00%     0.00%  G1 Conc#2        [kernel.kallsyms]                          [k] mod_objcg_state
     0.00%     0.00%  sshd             [kernel.kallsyms]                          [k] detach_tasks
     0.00%     0.00%  G1 Refine#0      [kernel.kallsyms]                          [k] group_balance_cpu
     0.00%     0.00%  G1 Refine#6      libjvm.so                                  [.] _ZN21OopOopIterateDispatchI28G1ConcurrentRefineOopClosureE5Table15oop_oop_iterateI13InstanceKlassP7oopDescEEvPS0_S6_P5Klass
     0.00%     0.00%  VM Thread        [kernel.kallsyms]                          [k] do_page_mkwrite
     0.00%     0.00%  VM Thread        [kernel.kallsyms]                          [k] ext4_page_mkwrite
     0.00%     0.00%  G1 Refine#20     libjvm.so                                  [.] _ZN15G1CollectedHeap4heapEv
     0.00%     0.00%  G1 Refine#21     [kernel.kallsyms]                          [k] dequeue_entity
     0.00%     0.00%  G1 Refine#6      [kernel.kallsyms]                          [k] cursor_timer_handler
     0.00%     0.00%  G1 Refine#6      [kernel.kallsyms]                          [k] queue_work_on
     0.00%     0.00%  GC Thread#22     [kernel.kallsyms]                          [k] llist_reverse_order
     0.00%     0.00%  GC Thread#6      [kernel.kallsyms]                          [k] perf_pmu_nop_void
     0.00%     0.00%  refresh progres  [kernel.kallsyms]                          [k] __irqentry_text_end
     0.00%     0.00%  C2 CompilerThre  [kernel.kallsyms]                          [k] cpuacct_charge
     0.00%     0.00%  G1 Refine#12     [kernel.kallsyms]                          [k] raise_softirq
     0.00%     0.00%  G1 Conc#3        [kernel.kallsyms]                          [k] mntput
     0.00%     0.00%  GC Thread#0      [kernel.kallsyms]                          [k] put_prev_task_fair
     0.00%     0.00%  GC Thread#0      libjvm.so                                  [.] _ZN17OtherRegionsTable13add_referenceEPvj
     0.00%     0.00%  G1 Refine#1      [kernel.kallsyms]                          [k] flush_tlb_mm_range
     0.00%     0.00%  G1 Refine#1      [kernel.kallsyms]                          [k] ptep_clear_flush
     0.00%     0.00%  Reference Handl  [kernel.kallsyms]                          [k] timekeeping_advance
     0.00%     0.00%  Reference Handl  [kernel.kallsyms]                          [k] timekeeping_update
     0.00%     0.00%  GC Thread#19     libjvm.so                                  [.] _ZN6Thread10muxAcquireEPVlPKc
     0.00%     0.00%  G1 Refine#16     [kernel.kallsyms]                          [k] update_group_capacity
     0.00%     0.00%  G1 Refine#13     [kernel.kallsyms]                          [k] activate_task
     0.00%     0.00%  G1 Refine#13     [kernel.kallsyms]                          [k] attach_task
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc50bcf0c4
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc58cd7867
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc5953f65b
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc59530d54
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc50bcf947
     0.00%     0.00%  G1 Refine#20     [kernel.kallsyms]                          [k] ghes_poll_func
     0.00%     0.00%  rhsmcertd-worke  [kernel.kallsyms]                          [k] tlb_finish_mmu
     0.00%     0.00%  Finalizer        [kernel.kallsyms]                          [k] futex_wake
     0.00%     0.00%  Finalizer        [kernel.kallsyms]                          [k] try_to_wake_up
     0.00%     0.00%  Finalizer        [kernel.kallsyms]                          [k] wake_up_q
     0.00%     0.00%  GC Thread#6      libjvm.so                                  [.] _ZN6Thread10muxAcquireEPVlPKc
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc58504bd7
     0.00%     0.00%  G1 Conc#1        [kernel.kallsyms]                          [k] pick_next_entity
     0.00%     0.00%  Finalizer        [kernel.kallsyms]                          [k] ktime_get_update_offsets_now
     0.00%     0.00%  G1 Refine#19     [kernel.kallsyms]                          [k] irq_exit_rcu
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc59530b1b
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc59119aee
     0.00%     0.00%  Finalizer        [kernel.kallsyms]                          [k] __audit_syscall_exit
