# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 861K of event 'cycles'
# Event count (approx.): 1583414822661
#
# Children      Self  Command          Shared Object                              Symbol                                                                                                                                                           
# ........  ........  ...............  .........................................  .................................................................................................................................................................
#
     0.57%     0.01%  GC Thread#14     [kernel.kallsyms]                          [k] __hrtimer_run_queues
     0.57%     0.34%  Executor task l  [kernel.kallsyms]                          [k] irqtime_account_irq
     0.56%     0.02%  G1 Refine#2      [kernel.kallsyms]                          [k] update_process_times
     0.56%     0.00%  G1 Conc#5        [kernel.kallsyms]                          [k] tick_sched_timer
     0.56%     0.00%  GC Thread#16     [kernel.kallsyms]                          [k] __run_hrtimer
     0.56%     0.00%  G1 Conc#3        [kernel.kallsyms]                          [k] tick_sched_timer
     0.56%     0.00%  GC Thread#20     [kernel.kallsyms]                          [k] __run_hrtimer
     0.56%     0.01%  GC Thread#12     [kernel.kallsyms]                          [k] __sysvec_apic_timer_interrupt
     0.56%     0.00%  GC Thread#15     [kernel.kallsyms]                          [k] tick_sched_handle
     0.56%     0.03%  Executor task l  [kernel.kallsyms]                          [k] get_page_from_freelist
     0.56%     0.01%  G1 Refine#4      [kernel.kallsyms]                          [k] __sysvec_apic_timer_interrupt
     0.56%     0.00%  GC Thread#7      [kernel.kallsyms]                          [k] tick_sched_timer
     0.55%     0.01%  GC Thread#2      [kernel.kallsyms]                          [k] __hrtimer_run_queues
     0.55%     0.00%  GC Thread#14     [kernel.kallsyms]                          [k] __run_hrtimer
     0.55%     0.01%  GC Thread#12     [kernel.kallsyms]                          [k] hrtimer_interrupt
     0.55%     0.02%  GC Thread#15     [kernel.kallsyms]                          [k] update_process_times
     0.55%     0.00%  G1 Conc#2        [kernel.kallsyms]                          [k] tick_sched_timer
     0.55%     0.02%  GC Thread#17     [kernel.kallsyms]                          [k] __hrtimer_run_queues
     0.55%     0.01%  G1 Refine#4      [kernel.kallsyms]                          [k] hrtimer_interrupt
     0.55%     0.00%  GC Thread#21     [kernel.kallsyms]                          [k] tick_sched_handle
     0.55%     0.00%  G1 Conc#4        [kernel.kallsyms]                          [k] tick_sched_timer
     0.55%     0.00%  G1 Conc#1        [kernel.kallsyms]                          [k] tick_sched_timer
     0.54%     0.00%  GC Thread#19     [kernel.kallsyms]                          [k] tick_sched_timer
     0.54%     0.00%  GC Thread#5      [kernel.kallsyms]                          [k] tick_sched_handle
     0.54%     0.01%  GC Thread#11     [kernel.kallsyms]                          [k] __sysvec_apic_timer_interrupt
     0.54%     0.00%  GC Thread#20     [kernel.kallsyms]                          [k] tick_sched_timer
     0.54%     0.00%  GC Thread#16     [kernel.kallsyms]                          [k] tick_sched_timer
     0.54%     0.00%  GC Thread#3      [kernel.kallsyms]                          [k] tick_sched_handle
     0.54%     0.00%  GC Thread#2      [kernel.kallsyms]                          [k] __run_hrtimer
     0.54%     0.02%  G1 Refine#0      [kernel.kallsyms]                          [k] scheduler_tick
     0.54%     0.01%  swapper          [kernel.kallsyms]                          [k] __irq_exit_rcu
     0.54%     0.00%  GC Thread#18     [kernel.kallsyms]                          [k] asm_sysvec_apic_timer_interrupt
     0.54%     0.01%  G1 Refine#3      [kernel.kallsyms]                          [k] __hrtimer_run_queues
     0.54%     0.02%  GC Thread#21     [kernel.kallsyms]                          [k] update_process_times
     0.54%     0.24%  Executor task l  [kernel.kallsyms]                          [k] kmem_cache_alloc
     0.54%     0.00%  GC Thread#1      [kernel.kallsyms]                          [k] asm_sysvec_apic_timer_interrupt
     0.54%     0.00%  GC Thread#18     [kernel.kallsyms]                          [k] sysvec_apic_timer_interrupt
     0.54%     0.00%  G1 Conc#0        [kernel.kallsyms]                          [k] tick_sched_handle
     0.54%     0.00%  G1 Conc#5        [kernel.kallsyms]                          [k] tick_sched_handle
     0.54%     0.02%  GC Thread#5      [kernel.kallsyms]                          [k] update_process_times
     0.54%     0.01%  GC Thread#6      [kernel.kallsyms]                          [k] __hrtimer_run_queues
     0.53%     0.00%  GC Thread#1      [kernel.kallsyms]                          [k] sysvec_apic_timer_interrupt
     0.53%     0.02%  G1 Conc#0        [kernel.kallsyms]                          [k] update_process_times
     0.53%     0.02%  G1 Conc#5        [kernel.kallsyms]                          [k] update_process_times
     0.53%     0.00%  G1 Conc#3        [kernel.kallsyms]                          [k] tick_sched_handle
     0.53%     0.00%  GC Thread#0      [kernel.kallsyms]                          [k] asm_sysvec_apic_timer_interrupt
