# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 45K of event 'cycles'
# Event count (approx.): 5822082299052
#
# Children      Self  Command          Shared Object          Symbol                                        
# ........  ........  ...............  .....................  ..............................................
#
     0.25%     0.00%  swapper          [kernel.kallsyms]      [k] __handle_irq_event_percpu
     0.25%     0.25%  swapper          [kernel.kallsyms]      [k] psi_group_change
     0.25%     0.01%  swapper          [kernel.kallsyms]      [k] nvme_process_cq
     0.25%     0.00%  swapper          [kernel.kallsyms]      [k] nvme_irq
     0.25%     0.03%  postgres         [kernel.kallsyms]      [k] __find_get_block
     0.25%     0.00%  postgres         [kernel.kallsyms]      [k] __read_extent_tree_block
     0.25%     0.00%  postgres         [kernel.kallsyms]      [k] __hrtimer_run_queues
     0.25%     0.06%  postgres         [kernel.kallsyms]      [k] set_page_dirty
     0.25%     0.23%  postgres         [kernel.kallsyms]      [k] __tlb_remove_page_size
     0.24%     0.00%  kcompactd0       [kernel.kallsyms]      [k] native_flush_tlb_multi
     0.24%     0.00%  kcompactd0       [kernel.kallsyms]      [k] on_each_cpu_cond_mask
     0.24%     0.00%  swapper          [kernel.kallsyms]      [k] nvme_pci_complete_rq
     0.24%     0.01%  postgres         [kernel.kallsyms]      [k] blk_update_request
     0.24%     0.24%  postgres         [kernel.kallsyms]      [k] try_grab_compound_head
     0.24%     0.05%  postgres         [kernel.kallsyms]      [k] pick_next_task_fair
     0.24%     0.22%  kcompactd0       [kernel.kallsyms]      [k] smp_call_function_many_cond
     0.24%     0.00%  swapper          [kernel.kallsyms]      [k] nvme_complete_rq
     0.24%     0.00%  kswapd0          [kernel.kallsyms]      [k] shrink_lruvec
     0.24%     0.00%  swapper          [kernel.kallsyms]      [k] blk_mq_end_request
     0.24%     0.00%  postgres         [kernel.kallsyms]      [k] do_writepages
     0.24%     0.00%  postgres         [kernel.kallsyms]      [k] filemap_fdatawrite_wbc
     0.23%     0.18%  postgres         [kernel.kallsyms]      [k] find_vma
     0.23%     0.00%  postgres         [kernel.kallsyms]      [k] ext4_writepages
     0.23%     0.10%  postgres         [kernel.kallsyms]      [k] __mod_memcg_lruvec_state
     0.23%     0.00%  postgres         [kernel.kallsyms]      [k] udp_send_skb
     0.23%     0.03%  swapper          [kernel.kallsyms]      [k] psi_task_switch
     0.23%     0.00%  postgres         [kernel.kallsyms]      [k] ip_output
     0.23%     0.00%  postgres         [kernel.kallsyms]      [k] ip_send_skb
     0.23%     0.00%  postgres         [kernel.kallsyms]      [k] ip_finish_output
     0.23%     0.00%  tclsh8.6         [kernel.kallsyms]      [k] __x64_sys_poll
     0.22%     0.00%  postgres         [kernel.kallsyms]      [k] __ip_finish_output
     0.22%     0.22%  postgres         [kernel.kallsyms]      [k] vm_normal_page
     0.22%     0.00%  kswapd0          [kernel.kallsyms]      [k] __invalidate_mapping_pages
     0.22%     0.00%  kswapd0          [kernel.kallsyms]      [k] __list_lru_walk_one
     0.22%     0.00%  kswapd0          [kernel.kallsyms]      [k] inode_lru_isolate
     0.22%     0.00%  kswapd0          [kernel.kallsyms]      [k] invalidate_mapping_pages
     0.22%     0.00%  kswapd0          [kernel.kallsyms]      [k] list_lru_walk_one
     0.22%     0.00%  kswapd0          [kernel.kallsyms]      [k] prune_icache_sb
     0.22%     0.00%  kswapd0          [kernel.kallsyms]      [k] super_cache_scan
     0.22%     0.00%  postgres         [kernel.kallsyms]      [k] ip_finish_output2
     0.22%     0.01%  kswapd1          [kernel.kallsyms]      [k] shrink_page_list
     0.22%     0.03%  tclsh8.6         [kernel.kallsyms]      [k] do_sys_poll
     0.22%     0.00%  postgres         [kernel.kallsyms]      [k] mpage_prepare_extent_to_map
     0.22%     0.00%  postgres         [kernel.kallsyms]      [k] bio_endio
