# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3361217828671
#
# Children      Self  Command          Shared Object                                     Symbol                                                                                                                                                           
# ........  ........  ...............  ................................................  .................................................................................................................................................................
#
     0.35%     0.00%  kworker/u64:32-  [kernel.kallsyms]                                 [k] writeback_sb_inodes
     0.35%     0.00%  kworker/u64:32-  [kernel.kallsyms]                                 [k] __writeback_inodes_wb
     0.35%     0.04%  kswapd0          [kernel.kallsyms]                                 [k] xas_store
     0.35%     0.00%  kworker/u64:32-  [kernel.kallsyms]                                 [k] __writeback_single_inode
     0.35%     0.00%  kworker/u64:32-  [kernel.kallsyms]                                 [k] do_writepages
     0.35%     0.00%  kworker/u64:32-  [kernel.kallsyms]                                 [k] ext4_writepages
     0.34%     0.03%  Executor task l  [kernel.kallsyms]                                 [k] ext4_map_blocks
     0.34%     0.00%  kworker/u64:10-  [kernel.kallsyms]                                 [k] ext4_release_io_end
     0.34%     0.11%  kworker/u64:10-  [kernel.kallsyms]                                 [k] ext4_finish_bio
     0.34%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] irqentry_exit_to_user_mode
     0.33%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] exit_to_user_mode_loop
     0.33%     0.13%  Executor task l  [kernel.kallsyms]                                 [k] tick_sched_do_timer
     0.33%     0.33%  Executor task l  [kernel.kallsyms]                                 [k] update_irq_load_avg
     0.32%     0.32%  Executor task l  [kernel.kallsyms]                                 [k] irq_work_tick
     0.32%     0.03%  Executor task l  [kernel.kallsyms]                                 [k] __ext4_journal_stop
     0.31%     0.00%  kworker/u64:32-  [kernel.kallsyms]                                 [k] wb_check_old_data_flush
     0.31%     0.03%  Executor task l  [kernel.kallsyms]                                 [k] mark_buffer_dirty
     0.31%     0.31%  Executor task l  [kernel.kallsyms]                                 [k] amd_pmu_addr_offset
     0.30%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] ext4_get_inode_loc
     0.30%     0.30%  Executor task l  [kernel.kallsyms]                                 [k] arch_scale_freq_tick
     0.30%     0.17%  Executor task l  [kernel.kallsyms]                                 [k] balance_dirty_pages_ratelimited
     0.30%     0.15%  Executor task l  [kernel.kallsyms]                                 [k] start_this_handle
     0.29%     0.08%  Executor task l  [kernel.kallsyms]                                 [k] enqueue_hrtimer
     0.29%     0.13%  Executor task l  [kernel.kallsyms]                                 [k] jbd2_journal_stop
     0.29%     0.05%  Executor task l  [kernel.kallsyms]                                 [k] __ext4_get_inode_loc
     0.29%     0.29%  Executor task l  [kernel.kallsyms]                                 [k] irqtime_account_process_tick
     0.29%     0.12%  Executor task l  [kernel.kallsyms]                                 [k] xas_create
     0.28%     0.16%  Executor task l  [kernel.kallsyms]                                 [k] try_charge_memcg
     0.28%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] schedule
     0.28%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] ext4_inode_csum_set
     0.27%     0.04%  Executor task l  [kernel.kallsyms]                                 [k] __schedule
     0.27%     0.05%  Executor task l  [kernel.kallsyms]                                 [k] syscall_exit_work
     0.27%     0.27%  Executor task l  [kernel.kallsyms]                                 [k] __const_udelay
     0.26%     0.26%  Executor task l  [kernel.kallsyms]                                 [k] rb_next
     0.26%     0.26%  Executor task l  [kernel.kallsyms]                                 [k] x86_pmu_disable
     0.26%     0.02%  swapper          [kernel.kallsyms]                                 [k] asm_sysvec_call_function_single
     0.26%     0.05%  Executor task l  [kernel.kallsyms]                                 [k] ext4_inode_csum
     0.26%     0.09%  Executor task l  [kernel.kallsyms]                                 [k] sched_clock_cpu
     0.25%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] __set_page_dirty
     0.25%     0.00%  kcompactd0       [kernel.kallsyms]                                 [k] move_to_new_page
     0.25%     0.21%  kswapd0          [kernel.kallsyms]                                 [k] __free_one_page
     0.25%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] do_open
     0.25%     0.21%  kswapd0          [kernel.kallsyms]                                 [k] xas_create
     0.24%     0.00%  kswapd0          [kernel.kallsyms]                                 [k] try_to_free_buffers
     0.24%     0.00%  swapper          [kernel.kallsyms]                                 [k] sysvec_call_function_single
     0.24%     0.00%  kcompactd0       [kernel.kallsyms]                                 [k] migrate_page
     0.24%     0.11%  Executor task l  [kernel.kallsyms]                                 [k] workingset_refault
     0.24%     0.06%  Executor task l  [kernel.kallsyms]                                 [k] error_entry
     0.24%     0.04%  Executor task l  [kernel.kallsyms]                                 [k] load_balance
     0.24%     0.24%  Executor task l  [kernel.kallsyms]                                 [k] irq_enter_rcu
     0.23%     0.00%  kworker/u64:12-  [kernel.kallsyms]                                 [k] mpage_map_and_submit_extent
